ID,Name,Typ,Verein,Jugendverein,Land,Am,MW,Einsatz
wob1,Koen Casteels ,1,wob,krc,,,E,1
wob2,Kilian Fischer,1,wob,mu60,,,A,1
wob3,Sebastiaan Bornauw,1,wob,and,,,E,1
wob4,Maxence Lacroix,1,wob,soc,,,H,1
wob5,Micky van de Veen,1,wob,vol,,,D,1
wob6,Paulo Otavio,1,wob,atpr,,,D,1
wob7,Luca Waldschmidt,1,wob,sgej,,,G,1
wob10,Lukas Nmecha,1,wob,manc,,,F,1
wob12,Pavao Pervan,1,wob,twl,,,A,1
wob16,Jakub Kaminski,1,wob,lech,,,D,1
wob20,Ridle Baku,1,wob,fsvj,,,G,1
wob22,Felix Nmecha,1,wob,manc,,,B,1
wob23,Jonas Wind,1,wob,kop,,,E,1
wob27,Maximilian Arnold,1,wob,wobj,,,F,1
wob29,Joshua Guilavogui,1,wob,asse,,,E,1
wob31,Yannik Gerhardt,1,wob,koej,,,E,1
wob32,Mattias Svanberg,1,wob,maff,,,E,1
wob33,Omar Marmoush,1,wob,wad,,,C,1
wob38,Bartol Franjic,1,wob,zag,,,C,1
wob39,Patrick Wimmer,1,wob,awie,,,D,1
wob40,Kevin Paredes,1,wob,dcu,,,B,1